In,Basic Pay,34061.32,1/22/2026,Cash,Landbank,Paid salary
Out,Meta Verified,773.25,1/1/2026,Credit,Atome,Billed
Out,YouTube Premium,194.86,1/2/2026,Credit,Atome,Billed
Out,Apple,514.47,1/1/2026,Credit,Atome,Billed
Out,PLDT,2595,1/18/2026,E-Wallet,GCash,Billed
Out,Netflix,812.43,1/28/2026,Credit,Atome,Billed
Out,Discord Nitro,272.17,1/30/2026,Credit,Atome,Billed
Out,Family Support,10000,1/22/2026,Cash,Landbank,Withdrawn
Out,Pocket Money,4000,1/6/2026,Cash,Metrobank Savings,Withdrawn
Out,Hotel Booking - Red Planet Binondo Manila,6108,1/6/2026,E-Wallet,Maya Wallet,
Out,Maya Personal Loan Deductions,1019.39,1/6/2026,E-Wallet,Maya Wallet,
Out,Atome Repayment Processing Fee,88.74,1/8/2026,Credit,Maya Black CC,Billed
Out,Fuel (Iligan to CDO),1273.91,1/9/2026,Credit,Metrobank Toyota CC,Billed
Out,Lunch - Food Panda - Sugba City,330,1/9/2026,Credit,Maya Black CC,Billed
Out,Fuel (CDO to Iligan),679.06,1/10/2026,Credit,Metrobank Toyota CC,Billed
Out,Breakfast - Jollibee,508.57,1/10/2026,Credit,Maya Black CC,Billed
Out,Ribs n Bibs - SM Downtown CDO,3266.25,1/10/2026,Credit,Unionbank CC,Billed
Out,S&R CDO,10070.8,1/10/2026,Credit,Unionbank CC,Billed
Out,Lunch - Ams Chicken Haus,220,1/12/2026,Credit,Unionbank CC,Billed
Out,Lunch - Al Pater,220,1/12/2026,E-Wallet,GCash,
Out,Transfer Fees,25,1/14/2026,Cash,Metrobank Savings,For Maya Black CC Early Payment
Out,Transfer Fees,25,1/14/2026,Cash,Metrobank Savings,For Unionbank CC Early Payment
Out,Lunch - Food Panda - Barbecue King,463,1/14/2026,Credit,Maya Black CC,Billed
Out,Fuel,1226.14,1/14/2026,Credit,Metrobank Toyota CC,Billed
Out,Fev's Diner,1268,1/17/2026,Credit,Maya Black CC,Billed
Out,Grab Taxi,152,1/19/2026,Credit,Maya Black CC,Billed. Daddy Art + Lala
Out,PMC-iPad Air,2000,1/22/2026,Credit,Unionbank CC,Billed
Out,Unli Data 1299 @ PLDT 5G WiFi,1299,1/24/2026,Credit,Maya Black CC,Billed
Out,Atome Repayment Processing Fee,177.48,1/24/2026,Credit,Maya Black CC,For fully paying the installment
Out,Smart Load - Magic Data,749,1/24/2026,Credit,Maya Black CC,Billed
Out,Fuel,1147.94,1/24/2026,Credit,Metrobank Toyota CC,Billed
Out,S&R Pizza Rob Iligan,661.52,1/25/2026,Credit,Maya Black CC,Billed
Out,Money in Pocket,150,1/26/2026,Cash,Cash,From GCash Loads
Out,Doble Surf 70,70,1/27/2026,E-Wallet,GCash,
